year,location,total,num_1_units,num_2_units,num_3_4_units,num_5_more_units,num_structures_more_5_units
2022,United States,1680368,973851,31920,23295,651302,22986
2022,Northeast Region,156823,61531,4366,2737,88189,3129
2022,New England Division,38408,19022,1546,768,17072,651
2022,Connecticut,5926,2468,236,40,3182,113
2022,Maine,7094,4907,226,95,1866,72
2022,Massachusetts,16830,6232,634,379,9585,329
2022,New Hampshire,4783,3129,184,154,1316,66
2022,Rhode Island,1372,960,150,58,204,7
2022,Vermont,2403,1326,116,42,919,64
2022,Middle Atlantic Division,118415,42509,2820,1969,71117,2478
2022,New Jersey,36906,13185,1230,693,21798,1095
2022,New York,53360,11174,984,541,40661,1030
2022,Pennsylvania,28149,18150,606,735,8658,353
2022,Midwest Region,220756,121527,6384,5135,87710,3112
2022,East North Central Division,122489,72304,3516,2961,43708,1882
2022,Illinois,20549,9765,396,864,9524,326
2022,Indiana,28245,18728,502,137,8878,303
2022,Michigan,21780,14809,406,599,5966,300
2022,Ohio,30843,17350,562,1198,11733,676
2022,Wisconsin,21072,11652,1650,163,7607,277
2022,West North Central Division,98267,49223,2868,2174,44002,1230
2022,Iowa,12704,7624,510,354,4216,133
2022,Kansas,9560,5567,950,260,2783,89
2022,Minnesota,31126,13483,254,298,17091,318
2022,Missouri,20901,11598,592,586,8125,263
2022,Nebraska,11115,5073,322,282,5438,180
2022,North Dakota,3440,1961,132,70,1277,32
2022,South Dakota,9421,3917,108,324,5072,215
2022,South Region,909321,577237,12424,9101,310559,11022
2022,South Atlantic Division,507748,323532,5134,3554,175528,5810
2022,Delaware,6417,5855,176,0,386,23
2022,District of Columbia,7705,409,64,4,7228,66
2022,Florida,209961,132959,2636,1846,72520,2496
2022,Georgia,77542,47026,714,930,28872,921
2022,Maryland,22860,10117,90,40,12613,614
2022,North Carolina,94118,65183,702,124,28109,769
2022,South Carolina,46038,37906,306,509,7317,374
2022,Virginia,39701,21130,360,86,18125,531
2022,West Virginia,3406,2947,86,15,358,16
2022,East South Central Division,94782,64956,1282,1414,27130,2020
2022,Alabama,19499,15961,228,139,3171,111
2022,Kentucky,15078,8783,492,282,5521,325
2022,Mississippi,7568,7001,48,54,465,60
2022,Tennessee,52637,33211,514,939,17973,1524
2022,West South Central Division,306791,188749,6008,4133,107901,3192
2022,Arkansas,14364,9473,600,582,3709,178
2022,Louisiana,15544,13557,640,54,1293,64
2022,Oklahoma,13876,10926,690,195,2065,86
2022,Texas,263007,154793,4078,3302,100834,2864
2022,West Region,393468,213556,8746,6322,164844,5723
2022,Mountain Division,198456,116712,4028,2973,74743,2710
2022,Arizona,61531,37288,1874,308,22061,701
2022,Colorado,48341,23691,996,536,23118,678
2022,Idaho,18706,11912,286,851,5657,290
2022,Montana,6460,3190,248,264,2758,136
2022,Nevada,20031,12419,228,267,7117,385
2022,New Mexico,8633,7155,20,31,1427,37
2022,Utah,31749,19132,294,512,11811,463
2022,Wyoming,3005,1925,82,204,794,20
2022,Pacific Division,195012,96844,4718,3349,90101,3013
2022,Alaska,578,471,44,18,45,5
2022,California,120780,63628,2602,1778,52772,1879
2022,Hawaii,4303,2033,218,0,2052,55
2022,Oregon,20321,10312,436,188,9385,400
2022,Washington,49030,20400,1418,1365,25847,674
