year,location,total,num_1_units,num_2_units,num_3_4_units,num_5_more_units,num_structures_more_5_units
2020,United States,1471141,979360,28324,18918,444539,15383
2020,Northeast Region,134753,56260,4454,2981,71058,2802
2020,New England Division,35571,18609,1450,725,14787,762
2020,Connecticut,5471,2512,172,114,2673,120
2020,Maine,5304,4180,198,73,853,47
2020,Massachusetts,17025,6754,628,304,9339,482
2020,New Hampshire,4320,3033,170,109,1008,50
2020,Rhode Island,1374,976,208,83,107,15
2020,Vermont,2077,1154,74,42,807,48
2020,Middle Atlantic Division,99182,37651,3004,2256,56271,2040
2020,New Jersey,36146,12289,1238,636,21983,995
2020,New York,37330,9516,958,489,26367,735
2020,Pennsylvania,25706,15846,808,1131,7921,310
2020,Midwest Region,202081,127955,5954,3417,64755,2329
2020,East North Central Division,113624,73891,3310,2003,34420,1470
2020,Illinois,18058,9237,470,555,7796,281
2020,Indiana,24919,18979,620,191,5129,232
2020,Michigan,19735,15154,468,391,3722,175
2020,Ohio,29686,18352,466,733,10135,458
2020,Wisconsin,21226,12169,1286,133,7638,324
2020,West North Central Division,88457,54064,2644,1414,30335,859
2020,Iowa,12623,8633,512,175,3303,114
2020,Kansas,8211,5975,600,181,1455,59
2020,Minnesota,28148,14707,316,272,12853,216
2020,Missouri,19839,13107,574,490,5668,208
2020,Nebraska,9483,5745,300,96,3342,134
2020,North Dakota,3493,2171,194,24,1104,24
2020,South Dakota,6660,3726,148,176,2610,104
2020,South Region,776343,568485,10556,5888,191414,6026
2020,South Atlantic Division,413539,307237,4526,2402,99374,2979
2020,Delaware,8455,7101,310,71,973,77
2020,District of Columbia,7370,139,94,4,7133,52
2020,Florida,164074,115250,2176,1231,45417,1354
2020,Georgia,55827,47982,482,542,6821,342
2020,Maryland,17982,12993,178,23,4788,96
2020,North Carolina,80474,60505,502,100,19367,538
2020,South Carolina,42340,36226,306,90,5718,250
2020,Virginia,33813,24238,446,320,8809,252
2020,West Virginia,3204,2803,32,21,348,18
2020,East South Central Division,88792,66647,948,1274,19923,691
2020,Alabama,19982,17551,114,192,2125,128
2020,Kentucky,11281,8876,320,371,1714,92
2020,Mississippi,7810,7190,62,86,472,42
2020,Tennessee,49719,33030,452,625,15612,429
2020,West South Central Division,274012,194601,5082,2212,72117,2356
2020,Arkansas,12493,8802,732,528,2431,178
2020,Louisiana,17283,15457,502,75,1249,53
2020,Oklahoma,13733,12100,418,73,1142,92
2020,Texas,230503,158242,3430,1536,67295,2033
2020,West Region,357964,226660,7360,6632,117312,4226
2020,Mountain Division,184759,129393,3550,3671,48145,1812
2020,Arizona,60342,42277,1040,311,16714,522
2020,Colorado,40469,26636,728,397,12708,334
2020,Idaho,19130,14969,306,674,3181,179
2020,Montana,5980,3318,416,522,1724,96
2020,Nevada,19716,13706,586,641,4783,274
2020,New Mexico,5219,4418,12,29,760,85
2020,Utah,31775,22301,404,1048,8022,303
2020,Wyoming,2128,1768,58,49,253,19
2020,Pacific Division,173205,97267,3810,2961,69167,2414
2020,Alaska,1420,1019,60,86,255,21
2020,California,106075,59043,2140,1677,43215,1384
2020,Hawaii,3164,2171,30,38,925,24
2020,Oregon,18665,11492,524,139,6510,303
2020,Washington,43881,23542,1056,1021,18262,682
