year,location,total,num_1_units,num_2_units,num_3_4_units,num_5_more_units,num_structures_more_5_units
2024,United States,1478000,981911,34568,19900,441621,16763
2024,Northeast Region,141965,59146,4484,3185,75150,2789
2024,New England Division,35674,17538,1508,937,15691,687
2024,Connecticut,5926,2129,124,177,3496,113
2024,Maine,6034,4650,264,128,992,87
2024,Massachusetts,14338,5626,502,312,7898,334
2024,New Hampshire,4965,2904,178,201,1682,82
2024,Rhode Island,1757,825,328,46,558,16
2024,Vermont,2654,1404,112,73,1065,55
2024,Middle Atlantic Division,106291,41608,2976,2248,59459,2102
2024,New Jersey,34932,14807,1140,901,18084,910
2024,New York,46549,10453,1232,681,34183,863
2024,Pennsylvania,24810,16348,604,666,7192,329
2024,Midwest Region,203745,124979,7332,4398,67036,2806
2024,East North Central Division,123946,76123,3806,2307,41710,1813
2024,Illinois,20326,10326,482,747,8771,411
2024,Indiana,26633,20082,516,210,5825,265
2024,Michigan,21750,15045,542,390,5773,283
2024,Ohio,31411,17791,712,893,12015,553
2024,Wisconsin,23826,12879,1554,67,9326,301
2024,West North Central Division,79799,48856,3526,2091,25326,993
2024,Iowa,12544,7780,440,211,4113,155
2024,Kansas,9063,5565,1468,368,1662,64
2024,Minnesota,20913,13420,444,222,6827,177
2024,Missouri,18464,11528,688,911,5337,229
2024,Nebraska,10479,5655,284,131,4409,203
2024,North Dakota,2319,1651,70,124,474,13
2024,South Dakota,6017,3257,132,124,2504,152
2024,South Region,805034,583293,13750,7783,200208,7364
2024,South Atlantic Division,447880,325785,4968,3177,113950,4146
2024,Delaware,7141,6236,208,18,679,26
2024,District of Columbia,1737,146,82,3,1506,40
2024,Florida,173326,123359,2022,929,47016,1441
2024,Georgia,68367,48243,836,1269,18019,1160
2024,Maryland,16823,10885,46,14,5878,94
2024,North Carolina,95163,70047,810,275,24031,762
2024,South Carolina,47072,40558,466,545,5503,338
2024,Virginia,34059,22796,448,80,10735,245
2024,West Virginia,4192,3515,50,44,583,40
2024,East South Central Division,89735,66520,1302,1197,20716,985
2024,Alabama,20725,17423,212,141,2949,107
2024,Kentucky,16264,8919,574,418,6353,443
2024,Mississippi,7883,7518,70,64,231,33
2024,Tennessee,44863,32660,446,574,11183,402
2024,West South Central Division,267419,190988,7480,3409,65542,2233
2024,Arkansas,13684,9819,788,323,2754,119
2024,Louisiana,14310,12120,494,35,1661,105
2024,Oklahoma,13669,10928,644,80,2017,99
2024,Texas,225756,158121,5554,2971,59110,1910
2024,West Region,327256,214493,9002,4534,99227,3804
2024,Mountain Division,168401,121514,3564,2349,40974,1627
2024,Arizona,59616,41944,1854,300,15518,498
2024,Colorado,32185,20434,402,390,10959,363
2024,Idaho,17630,14821,274,410,2125,102
2024,Montana,5367,3036,332,398,1601,92
2024,Nevada,19994,15485,196,193,4120,186
2024,New Mexico,7572,6488,260,54,770,29
2024,Utah,23902,17674,184,521,5523,331
2024,Wyoming,2135,1632,62,83,358,26
2024,Pacific Division,158855,92979,5438,2185,58253,2177
2024,Alaska,1032,446,134,78,374,22
2024,California,101545,61143,3232,1085,36085,1386
2024,Hawaii,3879,2444,180,3,1252,35
2024,Oregon,14621,9810,454,173,4184,236
2024,Washington,37778,19136,1438,846,16358,498
