Mine ID,Mine Name,Mine Status,Type of Mine,Street,City,State,Zip Code,Latitude,Longitude
3004027,Opalecky Gravel,Intermittent,Surface,2148 Open Meadows Road,Ashville,New York,14710.0,42.090411133499,-79.421465337872
3004033,Perry Road,Intermittent,Surface,9161 Perry Road,Clyde,New York,14433.0,43.01723456862,-76.944731012796
3004036,2017 SANDVIK CRUSHER QH331,Intermittent,Surface,1945 State Highway 812,Gouverneur,New York,13642.0,44.265667146841,-75.394604353632
3004037,Strunk Road Mine,Active,Surface,3030 Strunk Rd.,Jamestown,New York,14701.0,42.12934708604,-79.276278158466
3004038,JONES PIT,Intermittent,Surface,10224 Lake Julia Rd,Remsen,New York,13438.0,43.355312705446,-75.129312539136
3004042,Langevin Pit,Intermittent,Surface,4078 NYS Highway 3,Star Lake,New York,13690.0,44.166138092558,-75.046899835412
3004048,McClosky I44 impact crusher sn#81125,Intermittent,Surface,6690 old state rd,addison,New York,14801.0,42.080485935144,-77.313188909899
3004050,Portville-Obi Stone Gravel Mine,Intermittent,Surface,1397 Portville-Obi Road,Genesee,New York,14770.0,42.06041751312,-78.304110418883
3004053,FINTEC 640,Intermittent,Surface,206 LaPlante Rd,West Chazy,New York,12992.0,44.792948418122,-73.537223041485
3004058,Behen Farms Gravel Mine,Intermittent,Surface,9305 Council House Rd,Caneadea,New York,14717.0,42.406540295601,-78.151003345612
3004067,GREENWICH MATERIALS,Intermittent,Surface,441 Christie Road,Greenwich,New York,12834.0,43.138326812403,-73.426368670131
3004072,GENESEE NORTH GRAVEL PIT,Intermittent,Surface,6140 Genesee Street,Lancaster,New York,14086.0,42.945331588758,-78.608765114084
3004076,PORTABLE CRUSHER,Intermittent,Surface,49 Clayton Rd,Canaan,Connecticut,6018.0,42.046502136836,-73.318616937941
3004081,Kleemann Jaw Crusher 120,Intermittent,Surface,1719 Lovers Ln,Clifton Springs,New York,14432.0,42.950825268546,-77.181213290592
3004092, Van Kennen Pit,Intermittent,Surface,220 Van Kennen Rd.,Norfolk,New York,13667.0,44.823796950972,-74.907976479446
3004093,Schwab Aggregates Equipment,Intermittent,Surface,10090 Pigeon Hill Rd,Delevan,New York,14042.0,42.439758013071,-78.428074537093
3004096,F.C.H.D PIT,Intermittent,Surface,283 Shears Rd,malone ,New York,12953.0,44.893916162873,-74.30465457195
