Facility Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Cement Production
1003883,"AMERICAN CEMENT COMPANY, LLC",SUMTERVILLE,FL,33585,4750 EAST COUNTY ROAD 470,SUMTER,28.760864,-82.025353,"202,005.97"
1006659,ARGOS CEMENT LLC. - ROBERTA PLANT,CALERA,AL,35040,8039 HIGHWAY 25,SHELBY,33.1043,-86.7985,"380,925.00"
1007566,ARGOS USA -Martinsburg,MARTINSBURG,WV,25401,1826 SOUTH QUEEN STREET,BERKELEY COUNTY,39.443237,-77.968677,"555,774.59"
1006785,ARMSTRONG CEMENT & SUPPLY,CABOT,PA,16023,100 CLEARFIELD ROAD,BUTLER,40.7948,-79.70017,"184,940.57"
1002665,ASH GROVE CEMENT CO-CHANUTE PLANT,CHANUTE,KS,66720,1801 NORTH SANTA FE STREET,NEOSHO,37.698902,-95.458814,"944,325.50"
1002421,ASH GROVE CEMENT COMPANY,MIDLOTHIAN,TX,76065,900 GIFCO ROAD,ELLIS COUNTY,32.51993,-97.0068,"655,174.42"
1002527,ASH GROVE CEMENT COMPANY-DURKEE,DURKEE,OR,97905,33060 SHIRTTAIL CREEK ROAD,BAKER,44.5428,-117.4218,"455,430.70"
1007552,ASH GROVE CEMENT COMPANY-Louisville,LOUISVILLE,NE,68037,16215 HWY. 50,CASS,41.005565,-96.154917,"496,613.63"
1002531,ASH GROVE CEMENT COMPANY-MONTANA CITY,CLANCY,MT,59634,100 HIGHWAY 518,JEFFERSON,46.54448,-111.92062,"117,676.30"
1002537,ASH GROVE CEMENT COMPANY-SEATTLE,SEATTLE,WA,98134,3801 EAST MARGINAL WAY SOUTH,KING,47.56799,-122.34255,"239,924.60"
1007606,ASH GROVE CEMENT-FOREMAN,Foreman,AR,71836,4343 HWY 108,LITTLE RIVER,33.6953,-94.423,"613,057.27"
1007208,Alamo San Antonio Cement Plant,San Antonio,TX,78266,6055 West Green Mountain Road,BEXAR COUNTY,29.610148,-98.367792,"799,366.62"
1005458,Argos Cement LLC,NEWBERRY,FL,32669,4000 NORTHWEST COUNTY ROAD 235,ALACHUA,29.690671,-82.582134,"443,744.47"
1002750,Argos Cement LLC - Harleyville Plant,HARLEYVILLE,SC,29448,463 JUDGE STREET,DORCHESTER,33.226205,-80.452832,"271,893.00"
1002530,Ash Grove Cement Company-LEAMINGTON,Nephi,UT,84648,19090 West Highway 132,JUAB,39.563527,-112.197061,"426,352.62"
1003872,Brooksville North Cement Plant,BROOKSVILLE,FL,34614,16301 Ponce De Leon Blvd,HERNANDO,28.643555,-82.47203,0.00
1003303,Brooksville South Cement Plant,BROOKSVILLE,FL,34601,10311 CEMENT PLANT ROAD,HERNANDO,28.582265,-82.430829,"998,544.80"
1004270,CAPITOL CEMENT PLANT,SAN ANTONIO,TX,78217,11551 NACOGDOCHES RD.,BEXAR,29.545278,-98.421111,"354,363.10"
1004721,CEMEX CONSTRUCTION MATERIALS ATLANTIC LLC,KNOXVILLE,TN,37924,6212 CEMENT PLANT ROAD,KNOX,36.022505,-83.834408,"379,641.63"
1007877,CEMEX CONSTRUCTION MATERIALS SOUTH LLC,LYONS,CO,80540,5134 UTE HIGHWAY,BOULDER,40.202236,-105.236697,"341,031.55"
1007981,CEMEX Construction Materials Atlantic LLC,WAMPUM,PA,16157,2001 PORTLAND PARK ROAD,LAWRENCE,40.879365,-80.325209,"21,891.80"
