geo_id,state_name,B25001_001E,Unnamed: 4
0400000US01,Alabama,2381771,
0400000US02,Alaska,329757,
0400000US04,Arizona,3299178,
0400000US05,Arkansas,1421029,
0400000US06,California,14877017,
0400000US08,Colorado,2662111,
0400000US09,Connecticut,1554057,
0400000US10,Delaware,476415,
0400000US11,District of Columbia,368700,
0400000US12,Florida,10629845,
0400000US13,Georgia,4668796,
0400000US15,Hawaii,572824,
0400000US16,Idaho,832052,
0400000US17,Illinois,5482133,
0400000US18,Indiana,3026101,
0400000US19,Iowa,1458471,
0400000US20,Kansas,1310001,
0400000US21,Kentucky,2051004,
0400000US22,Louisiana,2138882,
0400000US23,Maine,764713,
0400000US24,Maryland,2588337,
0400000US25,Massachusetts,3057853,
0400000US26,Michigan,4669109,
0400000US27,Minnesota,2597229,
0400000US28,Mississippi,1359223,
0400000US29,Missouri,2858527,
0400000US30,Montana,539622,
0400000US31,Nebraska,880521,
0400000US32,Nevada,1365893,
0400000US33,New Hampshire,657198,
0400000US34,New Jersey,3816432,
0400000US35,New Mexico,973944,
0400000US36,New York,8676911,
0400000US37,North Carolina,5073509,
0400000US38,North Dakota,380994,
0400000US39,Ohio,5336168,
0400000US40,Oklahoma,1800427,
0400000US41,Oregon,1896851,
0400000US42,Pennsylvania,5861320,
0400000US44,Rhode Island,488011,
0400000US45,South Carolina,2531310,
0400000US46,South Dakota,423705,
0400000US47,Tennessee,3243954,
0400000US48,Texas,12616736,
0400000US49,Utah,1283206,
0400000US50,Vermont,343166,
0400000US51,Virginia,3746211,
0400000US53,Washington,3400980,
0400000US54,West Virginia,866433,
0400000US55,Wisconsin,2820538,
0400000US56,Wyoming,281789,
0400000US72,Puerto Rico,1616963,
