geo_id,state_name,B25001_001E,Unnamed: 4
0400000US01,Alabama,2313616,
0400000US02,Alaska,327889,
0400000US04,Arizona,3138685,
0400000US05,Arkansas,1380768,
0400000US06,California,14512149,
0400000US08,Colorado,2540783,
0400000US09,Connecticut,1536327,
0400000US10,Delaware,457978,
0400000US11,District of Columbia,357482,
0400000US12,Florida,10054509,
0400000US13,Georgia,4475242,
0400000US15,Hawaii,564878,
0400000US16,Idaho,775330,
0400000US17,Illinois,5440294,
0400000US18,Indiana,2950121,
0400000US19,Iowa,1426039,
0400000US20,Kansas,1284353,
0400000US21,Kentucky,2008227,
0400000US22,Louisiana,2093387,
0400000US23,Maine,744620,
0400000US24,Maryland,2546364,
0400000US25,Massachusetts,3017772,
0400000US26,Michigan,4590384,
0400000US27,Minnesota,2517173,
0400000US28,Mississippi,1332041,
0400000US29,Missouri,2807632,
0400000US30,Montana,521916,
0400000US31,Nebraska,854298,
0400000US32,Nevada,1305534,
0400000US33,New Hampshire,643979,
0400000US34,New Jersey,3779591,
0400000US35,New Mexico,948042,
0400000US36,New York,8530561,
0400000US37,North Carolina,4801698,
0400000US38,North Dakota,374435,
0400000US39,Ohio,5269498,
0400000US40,Oklahoma,1762113,
0400000US41,Oregon,1837009,
0400000US42,Pennsylvania,5770472,
0400000US44,Rhode Island,484925,
0400000US45,South Carolina,2395957,
0400000US46,South Dakota,400688,
0400000US47,Tennessee,3087992,
0400000US48,Texas,11867820,
0400000US49,Utah,1190154,
0400000US50,Vermont,336747,
0400000US51,Virginia,3652329,
0400000US53,Washington,3257140,
0400000US54,West Virginia,858462,
0400000US55,Wisconsin,2748274,
0400000US56,Wyoming,274373,
0400000US72,Puerto Rico,1526801,
