geo_id,state_name,total_units,single_family_detached,single_family_attached,units_2,units_3_4,units_5_9,units_10_19,units_20_49,units_50_plus,mobile_homes,boat_rv_van,Unnamed: 24
0400000US01,Alabama,2360120,1629619,42507,43904,70501,95378,76682,51096,62321,282266,5846,
0400000US02,Alaska,329681,203895,27900,16017,24272,14999,12273,11882,5729,12149,565,
0400000US04,Arizona,3239474,2093142,162660,41679,108578,108426,119961,85301,220557,287171,11999,
0400000US05,Arkansas,1409104,982957,31128,41969,46682,45655,51640,23386,29243,151724,4720,
0400000US06,California,14762527,8408401,1117901,349757,780070,832554,730098,765241,1255112,503594,19799,
0400000US08,Colorado,2638093,1610259,203183,36846,87127,120534,150809,145266,196791,85000,2278,
0400000US09,Connecticut,1546010,902246,99705,114278,126487,75919,54215,54358,106044,12346,412,
0400000US10,Delaware,471472,278780,73880,7063,10495,20197,23279,10912,14159,32326,381,
0400000US11,District of Columbia,367125,37187,75720,10657,25158,27302,30764,26435,133047,532,323,
0400000US12,Florida,10451823,5726318,692530,200623,392936,505863,557455,582538,950812,822706,20042,
0400000US13,Georgia,4610506,3051486,206999,94713,137855,201730,190679,117339,242402,361981,5322,
0400000US15,Hawaii,572042,307443,50764,13541,24920,34735,24982,28319,85254,1938,146,
0400000US16,Idaho,815304,604164,30740,14984,35854,22915,19310,13196,15316,57002,1823,
0400000US17,Illinois,5470727,3174813,337978,285910,354400,342286,217741,197160,437744,120358,2337,
0400000US18,Indiana,3002580,2175794,115226,70306,114557,137581,102124,68963,89341,127393,1295,
0400000US19,Iowa,1448736,1044300,74372,29908,46397,51983,59566,58108,41217,42382,503,
0400000US20,Kansas,1299931,935859,63597,28366,44726,48789,56899,33595,38244,48651,1205,
0400000US21,Kentucky,2036559,1376023,60112,57195,88193,93948,70401,32507,42577,213336,2267,
0400000US22,Louisiana,2124930,1392695,59077,84274,77188,68365,60048,47457,62609,268392,4825,
0400000US23,Maine,757424,529000,21321,33166,43798,28164,13558,14555,11864,61559,439,
0400000US24,Maryland,2572382,1308902,548637,37223,55695,141290,180689,61407,203540,33742,1257,
0400000US25,Massachusetts,3045867,1542390,172655,286213,331137,174324,129369,133311,250668,24203,1597,
0400000US26,Michigan,4642957,3334156,225746,94254,123793,198285,162650,101319,168966,232246,1542,
0400000US27,Minnesota,2574932,1685233,193338,50921,53022,59973,75963,139085,240502,75333,1562,
0400000US28,Mississippi,1350552,944511,16761,29955,41544,52003,35710,16192,19556,191459,2861,
0400000US29,Missouri,2844440,2016753,103648,87949,124572,104967,94115,66871,101276,140647,3642,
0400000US30,Montana,535481,371522,24536,16325,24648,16537,12631,12849,9006,45946,1481,
0400000US31,Nebraska,873525,623284,33525,15115,23081,35097,43026,36759,39075,23407,1156,
0400000US32,Nevada,1348248,817526,74960,17822,80185,80676,61233,37956,107249,67442,3199,
0400000US33,New Hampshire,653070,409647,35365,32778,34099,32488,21686,34605,16021,36073,308,
0400000US34,New Jersey,3803652,1987484,392159,313993,224428,178753,184214,163055,321889,36317,1360,
0400000US35,New Mexico,965373,618611,36582,18904,43028,26391,19875,20565,31981,147246,2190,
0400000US36,New York,8631232,3518867,471539,816100,616427,463863,381683,713147,1460136,186086,3384,
0400000US37,North Carolina,4979177,3244461,254304,84415,128735,208276,206641,146371,165991,534472,5511,
0400000US38,North Dakota,378124,215282,25192,6367,13089,14751,21408,38111,21934,21637,353,
0400000US39,Ohio,5317134,3644104,268945,184225,228011,247194,212212,118941,228806,181178,3518,
0400000US40,Oklahoma,1788886,1295133,40222,33996,48579,70848,67388,33480,52704,141385,5151,
0400000US41,Oregon,1879510,1168939,95426,50024,83981,87173,70765,64233,115289,137378,6302,
0400000US42,Pennsylvania,5839797,3310822,1082141,237857,242216,183120,151039,143038,278106,209261,2197,
0400000US44,Rhode Island,487127,269265,20567,47383,60224,25672,15850,13856,29377,4888,45,
0400000US45,South Carolina,2490327,1609394,97196,41612,72981,100688,79560,70930,74417,340578,2971,
0400000US46,South Dakota,417187,280564,20983,5916,13030,16431,17470,18133,15286,28895,479,
0400000US47,Tennessee,3195170,2176576,127199,76240,101025,137362,120338,72728,124508,251509,7685,
0400000US48,Texas,12394809,7956703,361055,225498,410117,542430,673986,462762,942520,788016,31722,
0400000US49,Utah,1258529,822966,111199,30565,52073,43355,46925,51049,62894,36121,1382,
0400000US50,Vermont,341357,229925,14470,19296,23121,14772,5710,8322,7814,17789,138,
0400000US51,Virginia,3717625,2275830,420119,66264,104198,159195,184141,89362,254354,163147,1015,
0400000US53,Washington,3361561,2060452,152286,80235,119097,145388,162476,161205,284590,186901,8931,
0400000US54,West Virginia,863756,602591,23854,19645,23479,25211,16642,13477,15094,122672,1091,
0400000US55,Wisconsin,2787388,1843720,119114,159408,98191,136870,104586,110996,128431,85497,575,
0400000US56,Wyoming,280119,192264,14688,4651,14132,7107,7208,5578,3545,29973,973,
0400000US72,Puerto Rico,1613134,1097226,201763,41895,46196,70618,53310,28535,70241,3266,84,
