geo_id,state_name,total_units,single_family_detached,single_family_attached,units_2,units_3_4,units_5_9,units_10_19,units_20_49,units_50_plus,mobile_homes,boat_rv_van,Unnamed: 24
0400000US01,Alabama,2339582,1619546,45690,43481,68778,91258,74847,46851,55767,285974,7390,
0400000US02,Alaska,329160,207121,24649,17870,24335,17520,10215,9960,4918,12046,526,
0400000US04,Arizona,3186554,2058393,166644,46161,96975,108930,123081,75237,212775,284582,13776,
0400000US05,Arkansas,1395735,962928,26452,44754,47668,50173,51218,24073,24906,159749,3814,
0400000US06,California,14627041,8372158,1071892,346346,798889,811754,697121,742844,1252206,512915,20916,
0400000US08,Colorado,2590205,1589995,208940,40347,79101,108605,145185,127905,193855,92679,3593,
0400000US09,Connecticut,1540292,903069,95962,105180,130376,73178,60769,59343,100364,11666,385,
0400000US10,Delaware,465804,282100,75385,4561,9795,16577,23479,9516,13773,30357,261,
0400000US11,District of Columbia,360862,38073,77994,15929,27583,23180,28402,28597,121104,0,0,
0400000US12,Florida,10257553,5565809,682253,217077,390135,495176,559201,566986,919134,840155,21627,
0400000US13,Georgia,4539156,3017661,203882,98953,142443,194394,184463,112033,218728,363036,3563,
0400000US15,Hawaii,568058,307139,52049,10805,23478,35862,24331,30816,80715,1948,915,
0400000US16,Idaho,796968,593215,29414,15008,36413,17687,16593,15381,16964,54491,1802,
0400000US17,Illinois,5452461,3175591,338145,270358,338044,354374,216364,218857,419733,118507,2488,
0400000US18,Indiana,2977176,2162386,119605,72199,108359,138673,95674,67389,82927,128933,1031,
0400000US19,Iowa,1438456,1038974,65985,28442,48300,55533,55160,62102,39138,44356,466,
0400000US20,Kansas,1292571,926960,64054,33640,49233,47108,52336,28967,38428,51163,682,
0400000US21,Kentucky,2023679,1359063,58636,54491,87362,95604,69684,32417,42257,220646,3519,
0400000US22,Louisiana,2113178,1381951,57060,79192,90307,71720,59828,45515,56087,266214,5304,
0400000US23,Maine,751697,523111,20361,35814,41165,30148,12374,16258,12419,59556,491,
0400000US24,Maryland,2559057,1307353,541537,37621,54805,128061,191156,70564,195120,32086,754,
0400000US25,Massachusetts,3036303,1537919,175680,288912,328485,175568,128828,142787,231436,24813,1875,
0400000US26,Michigan,4605363,3307942,222388,103719,120897,190665,163751,100251,155827,237488,2435,
0400000US27,Minnesota,2547867,1691035,179649,56824,52488,56052,80011,127111,230018,73498,1181,
0400000US28,Mississippi,1342764,929223,17466,30259,44621,46061,31282,16567,23365,201130,2790,
0400000US29,Missouri,2826295,1978688,103915,89085,131883,101594,100926,69504,96238,150114,4348,
0400000US30,Montana,529167,364808,26037,14480,24772,14351,14009,12005,10722,47063,920,
0400000US31,Nebraska,863831,614708,36077,16148,22423,38007,44505,34204,35358,22261,140,
0400000US32,Nevada,1328788,802033,68019,19219,76023,83120,62029,42469,102403,70538,2935,
0400000US33,New Hampshire,648571,415725,34044,31539,31505,33485,20110,32746,17645,31258,514,
0400000US34,New Jersey,3785097,2007394,388654,313727,222440,174938,181978,155819,301311,37743,1093,
0400000US35,New Mexico,956743,626178,32043,15344,37284,25006,24949,15436,29243,147864,3396,
0400000US36,New York,8585784,3528524,461298,821384,591155,450626,380307,730167,1435738,183800,2785,
0400000US37,North Carolina,4892627,3203960,223064,97433,134569,182401,214364,151316,153134,527401,4985,
0400000US38,North Dakota,377722,219558,21879,4843,10208,14766,18164,33595,26241,28220,248,
0400000US39,Ohio,5293227,3639393,266236,196277,222426,235844,207361,115750,225827,181242,2871,
0400000US40,Oklahoma,1776732,1278218,40705,36258,50834,70779,54689,36877,52767,151238,4367,
0400000US41,Oregon,1859349,1166974,89442,47540,81939,80833,73540,65537,118635,126598,8311,
0400000US42,Pennsylvania,5815191,3289691,1081929,248028,235399,181508,154356,137914,278601,205068,2697,
0400000US44,Rhode Island,486017,274237,21433,46398,51736,22368,16560,14088,34969,3967,261,
0400000US45,South Carolina,2446680,1576876,96693,41879,72376,92264,80885,69887,62640,348544,4636,
0400000US46,South Dakota,408009,277246,17076,5642,13458,15148,18447,19752,12350,28242,648,
0400000US47,Tennessee,3144583,2150720,122018,75235,97940,132601,109116,72954,118620,260517,4862,
0400000US48,Texas,12135376,7828380,349623,216481,415056,549442,657531,424324,890000,768293,36246,
0400000US49,Utah,1228707,823816,95655,31451,47370,37822,52556,43230,60066,36101,640,
0400000US50,Vermont,338998,228786,14875,18221,19316,15077,7620,9022,7116,18785,180,
0400000US51,Virginia,3685233,2266022,411616,58790,100887,165959,191706,82474,247377,158671,1731,
0400000US53,Washington,3313479,2057867,148151,70381,107302,148470,164834,156016,272626,178860,8972,
0400000US54,West Virginia,861686,608979,23140,17107,25834,22708,16073,11660,16019,118617,1549,
0400000US55,Wisconsin,2770355,1839386,117921,161429,94663,136883,95978,116887,120791,84592,1825,
0400000US56,Wyoming,277106,188175,13148,5200,12673,9087,7581,6302,2926,31449,565,
0400000US72,Puerto Rico,1598570,1075998,195857,45395,46512,74035,53064,32690,70492,4316,211,
