geo_id,state_name,B25001_001E,Unnamed: 4
0400000US01,Alabama,2360120,
0400000US02,Alaska,329681,
0400000US04,Arizona,3239474,
0400000US05,Arkansas,1409104,
0400000US06,California,14762527,
0400000US08,Colorado,2638093,
0400000US09,Connecticut,1546010,
0400000US10,Delaware,471472,
0400000US11,District of Columbia,367125,
0400000US12,Florida,10451823,
0400000US13,Georgia,4610506,
0400000US15,Hawaii,572042,
0400000US16,Idaho,815304,
0400000US17,Illinois,5470727,
0400000US18,Indiana,3002580,
0400000US19,Iowa,1448736,
0400000US20,Kansas,1299931,
0400000US21,Kentucky,2036559,
0400000US22,Louisiana,2124930,
0400000US23,Maine,757424,
0400000US24,Maryland,2572382,
0400000US25,Massachusetts,3045867,
0400000US26,Michigan,4642957,
0400000US27,Minnesota,2574932,
0400000US28,Mississippi,1350552,
0400000US29,Missouri,2844440,
0400000US30,Montana,535481,
0400000US31,Nebraska,873525,
0400000US32,Nevada,1348248,
0400000US33,New Hampshire,653070,
0400000US34,New Jersey,3803652,
0400000US35,New Mexico,965373,
0400000US36,New York,8631232,
0400000US37,North Carolina,4979177,
0400000US38,North Dakota,378124,
0400000US39,Ohio,5317134,
0400000US40,Oklahoma,1788886,
0400000US41,Oregon,1879510,
0400000US42,Pennsylvania,5839797,
0400000US44,Rhode Island,487127,
0400000US45,South Carolina,2490327,
0400000US46,South Dakota,417187,
0400000US47,Tennessee,3195170,
0400000US48,Texas,12394809,
0400000US49,Utah,1258529,
0400000US50,Vermont,341357,
0400000US51,Virginia,3717625,
0400000US53,Washington,3361561,
0400000US54,West Virginia,863756,
0400000US55,Wisconsin,2787388,
0400000US56,Wyoming,280119,
0400000US72,Puerto Rico,1613134,
