New Privately Owned Housing Units Authorized,,,,,,
"Unadjusted Units for Regions, Divisions, and States",,,,,,
,,,,,,
202399,,,,,,
,,,,,,
,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More
,,,,,,
United States                 ,1511102,919973,34224,20492,536413,18795
,,,,,,
Northeast Region              ,140816,55463,4156,2778,78419,2757
     New England Division          ,33849,16646,1306,829,15068,624
          Connecticut                   ,6272,2050,124,161,3937,145
          Maine                         ,6183,4540,246,90,1307,93
          Massachusetts                 ,13214,5075,482,358,7299,273
          New Hampshire                 ,4555,2969,206,134,1246,46
          Rhode Island                  ,1169,709,120,23,317,13
          Vermont                       ,2456,1303,128,63,962,54
,,,,,,
     Middle Atlantic Division      ,106967,38817,2850,1949,63351,2133
          New Jersey                    ,32840,13228,1406,728,17478,980
          New York                      ,48807,9677,1056,658,37416,834
          Pennsylvania                  ,25320,15912,388,563,8457,319
,,,,,,
Midwest Region                ,195071,114044,7228,4476,69323,2636
     East North Central Division   ,113322,68487,3864,2692,38279,1624
          Illinois                      ,16863,9554,540,770,5999,324
          Indiana                       ,27055,17046,532,237,9240,327
          Michigan                      ,20592,14413,534,482,5163,314
          Ohio                          ,27318,16009,680,977,9652,402
          Wisconsin                     ,21494,11465,1578,226,8225,257
,,,,,,
     West North Central Division   ,81749,45557,3364,1784,31044,1012
          Iowa                          ,11230,7421,358,399,3052,123
          Kansas                        ,9504,4927,1592,148,2837,93
          Minnesota                     ,25667,12770,254,233,12410,276
          Missouri                      ,16781,11022,662,547,4550,191
          Nebraska                      ,8877,4666,214,160,3837,170
          North Dakota                  ,2618,1499,114,20,985,12
          South Dakota                  ,7072,3252,170,277,3373,147
,,,,,,
South Region                  ,829866,556490,14730,7928,250718,8166
     South Atlantic Division       ,466084,313140,5282,3092,144570,4552
          Delaware                      ,5765,4684,108,0,973,32
          District of Columbia          ,3020,166,64,11,2779,41
          Florida                       ,193788,125773,2698,1274,64043,2102
          Georgia                       ,63621,44405,472,739,18005,713
          Maryland                      ,18453,10490,18,56,7889,152
          North Carolina                ,98853,65860,866,203,31924,835
          South Carolina                ,42474,37163,632,593,4086,332
          Virginia                      ,36096,21321,392,153,14230,317
          West Virginia                 ,4014,3278,32,63,641,28
,,,,,,
     East South Central Division   ,90915,62562,1500,1283,25570,1051
          Alabama                       ,20337,16298,268,129,3642,150
          Kentucky                      ,15415,7826,600,534,6455,334
          Mississippi                   ,7700,7145,100,18,437,53
          Tennessee                     ,47463,31293,532,602,15036,514
,,,,,,
     West South Central Division   ,272867,180788,7948,3553,80578,2563
          Arkansas                      ,12842,9360,1030,356,2096,145
          Louisiana                     ,14247,11243,620,18,2366,94
          Oklahoma                      ,13405,10325,780,325,1975,103
          Texas                         ,232373,149860,5518,2854,74141,2221
,,,,,,
West Region                   ,345349,193976,8110,5310,137953,5236
     Mountain Division             ,174067,104630,3632,2685,63120,2282
          Arizona                       ,58433,34429,2074,334,21596,710
          Colorado                      ,39404,19641,596,410,18757,613
          Idaho                         ,17919,12081,276,545,5017,187
          Montana                       ,4307,2274,146,196,1691,65
          Nevada                        ,18451,13039,160,292,4960,230
          New Mexico                    ,8511,6835,86,61,1529,57
          Utah                          ,25361,14913,224,712,9512,412
          Wyoming                       ,1681,1418,70,135,58,8
,,,,,,
     Pacific Division              ,171282,89346,4478,2625,74833,2954
          Alaska                        ,937,599,48,15,275,13
          California                    ,111760,58534,2458,1444,49324,2029
          Hawaii                        ,3791,2360,196,7,1228,39
          Oregon                        ,17697,9797,496,230,7174,311
          Washington                    ,37097,18056,1280,929,16832,562
