New Privately Owned Housing Units Authorized,,,,,,
"Unadjusted Units for Regions, Divisions, and States",,,,,,
,,,,,,
Annual 2021,,,,,,
,,,,,,
,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More
,,,,,,
United States                 ,1736982,1115360,31760,21093,568769,19126
,,,,,,
Northeast Region              ,164760,65006,4720,3412,91622,3340
     New England Division          ,39637,21230,1502,727,16178,887
          Connecticut                   ,4651,2941,148,79,1483,116
          Maine                         ,6530,5238,240,72,980,54
          Massachusetts                 ,19853,7231,702,330,11590,594
          New Hampshire                 ,4892,3426,132,141,1193,59
          Rhode Island                  ,1392,1033,148,85,126,9
          Vermont                       ,2319,1361,132,20,806,55
,,,,,,
     Middle Atlantic Division      ,125123,43776,3218,2685,75444,2453
          New Jersey                    ,37094,13913,1192,645,21344,1030
          New York                      ,40135,11099,908,618,27510,760
          Pennsylvania                  ,47894,18764,1118,1422,26590,663
,,,,,,
Midwest Region                ,227600,142917,6258,3771,74654,2676
     East North Central Division   ,127112,83627,3458,2001,38026,1599
          Illinois                      ,19658,10937,490,736,7495,287
          Indiana                       ,29860,22225,718,134,6783,223
          Michigan                      ,21732,16760,424,421,4127,207
          Ohio                          ,30418,20506,376,607,8929,464
          Wisconsin                     ,25444,13199,1450,103,10692,418
,,,,,,
     West North Central Division   ,100488,59290,2800,1770,36628,1077
          Iowa                          ,13686,9158,446,298,3784,120
          Kansas                        ,9538,6569,1002,135,1832,52
          Minnesota                     ,33652,16704,354,283,16311,299
          Missouri                      ,21372,13941,478,595,6358,238
          Nebraska                      ,10723,6328,118,177,4100,169
          North Dakota                  ,3600,2266,258,8,1068,27
          South Dakota                  ,7917,4324,144,274,3175,172
,,,,,,
South Region                  ,917533,655212,12264,6289,243768,7340
     South Atlantic Division       ,501087,362441,5624,2430,130592,3810
          Delaware                      ,8500,7261,304,3,932,25
          District of Columbia          ,4740,376,24,7,4333,50
          Florida                       ,213494,148735,3338,1272,60149,1646
          Georgia                       ,67223,53419,364,624,12816,559
          Maryland                      ,18496,12520,50,70,5856,185
          North Carolina                ,94874,68636,542,238,25458,743
          South Carolina                ,50680,43264,416,42,6958,272
          Virginia                      ,39388,25118,502,156,13612,309
          West Virginia                 ,3692,3112,84,18,478,21
,,,,,,
     East South Central Division   ,102413,72336,708,1000,28369,1126
          Alabama                       ,22100,17879,98,199,3924,159
          Kentucky                      ,14841,10087,270,189,4295,281
          Mississippi                   ,7988,7384,44,100,460,56
          Tennessee                     ,57484,36986,296,512,19690,630
,,,,,,
     West South Central Division   ,314033,220435,5932,2859,84807,2404
          Arkansas                      ,14198,10563,616,567,2452,126
          Louisiana                     ,19147,16937,480,78,1652,50
          Oklahoma                      ,14733,13315,486,81,851,77
          Texas                         ,265955,179620,4350,2133,79852,2151
,,,,,,
West Region                   ,427089,252225,8518,7621,158725,5770
     Mountain Division             ,223785,144471,4016,4138,71160,2857
          Arizona                       ,65334,46561,1332,336,17105,727
          Colorado                      ,56524,30246,1260,736,24282,664
          Idaho                         ,21732,16154,222,1051,4305,255
          Montana                       ,7272,3169,348,267,3488,134
          Nevada                        ,23406,16295,220,677,6214,364
          New Mexico                    ,7753,5465,58,27,2203,116
          Utah                          ,39058,24423,480,879,13276,573
          Wyoming                       ,2706,2158,96,165,287,24
,,,,,,
     Pacific Division              ,203304,107754,4502,3483,87565,2913
          Alaska                        ,1552,1158,34,103,257,24
          California                    ,119436,65890,2408,1631,49507,1763
          Hawaii                        ,3459,2445,102,13,899,75
          Oregon                        ,21916,13185,424,250,8057,307
          Washington                    ,56941,25076,1534,1486,28845,744
