"GEO_ID","NAME","B25024_001E","B25024_001M","B25024_002E","B25024_002M","B25024_003E","B25024_003M","B25024_004E","B25024_004M","B25024_005E","B25024_005M","B25024_006E","B25024_006M","B25024_007E","B25024_007M","B25024_008E","B25024_008M","B25024_009E","B25024_009M","B25024_010E","B25024_010M","B25024_011E","B25024_011M",
"0400000US22","Louisiana","2124930","297","1392695","12827","59077","4277","84274","4567","77188","5702","68365","4957","60048","5751","47457","4336","62609","4670","268392","9049","4825","1264",
"0400000US23","Maine","757424","1338","529000","6217","21321","2741","33166","4126","43798","3358","28164","3444","13558","1950","14555","1999","11864","1856","61559","3391","439","264",
"0400000US24","Maryland","2572382","567","1308902","13775","548637","12217","37223","4052","55695","4730","141290","7521","180689","8334","61407","4676","203540","6950","33742","3004","1257","731",
"0400000US25","Massachusetts","3045867","257","1542390","13007","172655","7337","286213","9193","331137","10510","174324","7636","129369","7014","133311","7785","250668","7580","24203","2254","1597","808",
"0400000US26","Michigan","4642957","1572","3334156","13929","225746","7209","94254","5320","123793","6365","198285","9229","162650","7753","101319","5821","168966","7920","232246","6247","1542","483",
"0400000US27","Minnesota","2574932","884","1685233","11827","193338","7311","50921","3753","53022","3941","59973","3996","75963","4770","139085","7155","240502","8106","75333","3412","1562","607",
"0400000US28","Mississippi","1350552","165","944511","9254","16761","2539","29955","3363","41544","3868","52003","4483","35710","3966","16192","2496","19556","2904","191459","8127","2861","877",
"0400000US29","Missouri","2844440","583","2016753","11394","103648","4718","87949","5418","124572","6889","104967","6988","94115","5479","66871","5087","101276","5655","140647","5255","3642","829",
"0400000US30","Montana","535481","106","371522","4959","24536","2332","16325","2056","24648","2762","16537","2951","12631","2126","12849","1879","9006","1508","45946","3492","1481","640",
"0400000US31","Nebraska","873525","618","623284","6767","33525","3006","15115","2590","23081","2967","35097","3356","43026","3428","36759","3457","39075","3556","23407","2573","1156","679",
"0400000US32","Nevada","1348248","137","817526","10509","74960","5357","17822","2760","80185","5313","80676","6555","61233","5309","37956","3849","107249","6293","67442","4490","3199","823",
"0400000US33","New Hampshire","653070","115","409647","6579","35365","3229","32778","2848","34099","3580","32488","3540","21686","2948","34605","3729","16021","2076","36073","2712","308","278",
"0400000US34","New Jersey","3803652","1675","1987484","13437","392159","11727","313993","11971","224428","10204","178753","7993","184214","9046","163055","7359","321889","10995","36317","3236","1360","740",
"0400000US35","New Mexico","965373","173","618611","7975","36582","2863","18904","2758","43028","4315","26391","3357","19875","3244","20565","2778","31981","3179","147246","5824","2190","727",
"0400000US36","New York","8631232","832","3518867","18625","471539","10038","816100","15827","616427","12231","463863","11920","381683","12298","713147","16055","1460136","16336","186086","6519","3384","1092",
"0400000US37","North Carolina","4979177","649","3244461","15589","254304","8916","84415","6793","128735","7561","208276","9393","206641","8463","146371","9338","165991","7090","534472","13888","5511","1412",
"0400000US38","North Dakota","378124","1167","215282","4463","25192","2839","6367","1419","13089","2084","14751","2272","21408","3013","38111","3987","21934","2329","21637","2194","353","291",
"0400000US39","Ohio","5317134","790","3644104","18258","268945","8933","184225","8712","228011","10363","247194","9380","212212","8960","118941","6231","228806","8728","181178","8076","3518","991",
"0400000US40","Oklahoma","1788886","228","1295133","6584","40222","2996","33996","2855","48579","3070","70848","4375","67388","4104","33480","2995","52704","3429","141385","3843","5151","968",
"0400000US41","Oregon","1879510","136","1168939","12574","95426","5625","50024","4943","83981","5278","87173","4519","70765","5257","64233","4769","115289","6110","137378","6420","6302","1300",
"0400000US42","Pennsylvania","5839797","484","3310822","16931","1082141","14010","237857","9807","242216","9479","183120","10250","151039","6851","143038","6699","278106","9645","209261","6155","2197","780",
"0400000US44","Rhode Island","487127","96","269265","5868","20567","3068","47383","3968","60224","4727","25672","3409","15850","2280","13856","2165","29377","2775","4888","1508","45","76",
"0400000US45","South Carolina","2490327","211","1609394","12212","97196","5602","41612","4030","72981","5711","100688","7319","79560","6476","70930","5757","74417","6831","340578","9201","2971","965",
"0400000US46","South Dakota","417187","159","280564","4411","20983","2610","5916","1277","13030","1825","16431","2154","17470","2303","18133","1847","15286","2347","28895","2353","479","317",
"0400000US47","Tennessee","3195170","237","2176576","13764","127199","6234","76240","5979","101025","6464","137362","7485","120338","7196","72728","4928","124508","7445","251509","7724","7685","1557",
"0400000US48","Texas","12394809","3110","7956703","26718","361055","10224","225498","10134","410117","12987","542430","13351","673986","16146","462762","16080","942520","17544","788016","15920","31722","3833",
"0400000US49","Utah","1258529","179","822966","7913","111199","5361","30565","3159","52073","3864","43355","4098","46925","3939","51049","3871","62894","4762","36121","3258","1382","687",
"0400000US50","Vermont","341357","74","229925","3785","14470","1977","19296","1956","23121","2938","14772","1969","5710","1215","8322","1127","7814","1439","17789","1671","138","127",
"0400000US51","Virginia","3717625","472","2275830","13196","420119","10307","66264","5802","104198","6079","159195","7445","184141","8610","89362","4981","254354","8246","163147","6551","1015","577",
"0400000US53","Washington","3361561","310","2060452","14304","152286","7795","80235","5016","119097","7219","145388","7378","162476","7751","161205","6457","284590","8602","186901","6959","8931","1604",
"0400000US54","West Virginia","863756","177","602591","8580","23854","2507","19645","2574","23479","2740","25211","3001","16642","2301","13477","2145","15094","2317","122672","7012","1091","572",
"0400000US55","Wisconsin","2787388","291","1843720","11913","119114","4856","159408","6548","98191","6055","136870","6114","104586","6084","110996","5718","128431","5974","85497","4106","575","250",
"0400000US56","Wyoming","280119","109","192264","3362","14688","1923","4651","1233","14132","2097","7107","1569","7208","1595","5578","1484","3545","1001","29973","2566","973","633",
"0400000US72","Puerto Rico","1613134","8779","1097226","10218","201763","7635","41895","3046","46196","4009","70618","4600","53310","3978","28535","2689","70241","3841","3266","853","84","146",
