"GEO_ID","NAME","B25024_001E","B25024_001M","B25024_002E","B25024_002M","B25024_003E","B25024_003M","B25024_004E","B25024_004M","B25024_005E","B25024_005M","B25024_006E","B25024_006M","B25024_007E","B25024_007M","B25024_008E","B25024_008M","B25024_009E","B25024_009M","B25024_010E","B25024_010M","B25024_011E","B25024_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.",
"0400000US01","Alabama","2360120","220","1629619","11554","42507","3544","43904","3886","70501","4683","95378","5871","76682","5894","51096","5364","62321","4909","282266","7725","5846","1177",
"0400000US02","Alaska","329681","282","203895","3480","27900","3214","16017","1868","24272","2900","14999","2471","12273","2091","11882","1711","5729","1204","12149","1784","565","503",
"0400000US04","Arizona","3239474","370","2093142","15550","162660","6278","41679","3830","108578","7605","108426","6835","119961","7862","85301","6433","220557","8245","287171","10251","11999","1857",
"0400000US05","Arkansas","1409104","322","982957","9257","31128","3213","41969","3620","46682","4310","45655","4687","51640","4601","23386","3446","29243","3439","151724","6002","4720","1264",
"0400000US06","California","14762527","428","8408401","29345","1117901","16284","349757","11600","780070","18167","832554","17576","730098","16111","765241","16303","1255112","18720","503594","10977","19799","3134",
"0400000US08","Colorado","2638093","2183","1610259","13192","203183","8160","36846","3033","87127","6456","120534","6428","150809","7515","145266","6714","196791","6647","85000","5769","2278","739",
"0400000US09","Connecticut","1546010","175","902246","10644","99705","4870","114278","6157","126487","6092","75919","5524","54215","3538","54358","4775","106044","6741","12346","1996","412","339",
"0400000US10","Delaware","471472","147","278780","5117","73880","4290","7063","1466","10495","2051","20197","2425","23279","3285","10912","1988","14159","1946","32326","2475","381","379",
"0400000US11","District of Columbia","367125","69","37187","2889","75720","3989","10657","1727","25158","3939","27302","3639","30764","4408","26435","2966","133047","4631","532","579","323","316",
"0400000US12","Florida","10451823","503","5726318","25658","692530","15859","200623","8632","392936","11391","505863","15183","557455","13684","582538","14453","950812","17714","822706","15589","20042","2466",
"0400000US13","Georgia","4610506","467","3051486","18298","206999","7407","94713","6161","137855","7780","201730","9252","190679","9527","117339","7037","242402","9705","361981","8859","5322","1479",
"0400000US15","Hawaii","572042","104","307443","4969","50764","3322","13541","1594","24920","2861","34735","2727","24982","2723","28319","2525","85254","4069","1938","789","146","117",
"0400000US16","Idaho","815304","151","604164","6830","30740","2917","14984","2094","35854","3494","22915","2801","19310","2025","13196","2007","15316","2214","57002","3416","1823","613",
"0400000US17","Illinois","5470727","527","3174813","17846","337978","8663","285910","10152","354400","12501","342286","13350","217741","8589","197160","8606","437744","12612","120358","5512","2337","1310",
"0400000US18","Indiana","3002580","509","2175794","12664","115226","5382","70306","4837","114557","6838","137581","6959","102124","6530","68963","5439","89341","5275","127393","6101","1295","690",
"0400000US19","Iowa","1448736","1169","1044300","9316","74372","4440","29908","2518","46397","3274","51983","3813","59566","4209","58108","4419","41217","3518","42382","3382","503","348",
"0400000US20","Kansas","1299931","716","935859","7730","63597","4240","28366","2589","44726","3295","48789","3721","56899","4843","33595","3211","38244","2963","48651","3151","1205","571",
"0400000US21","Kentucky","2036559","301","1376023","12521","60112","4225","57195","4646","88193","5170","93948","6290","70401","5164","32507","3894","42577","3959","213336","8056","2267","730",
