GEO_ID,NAME,B25024_001E,B25024_001M,B25024_002E,B25024_002M,B25024_003E,B25024_003M,B25024_004E,B25024_004M,B25024_005E,B25024_005M,B25024_006E,B25024_006M,B25024_007E,B25024_007M,B25024_008E,B25024_008M,B25024_009E,B25024_009M,B25024_010E,B25024_010M,B25024_011E,B25024_011M
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,"Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached",Estimate!!Total:!!2,Margin of Error!!Total:!!2,Estimate!!Total:!!3 or 4,Margin of Error!!Total:!!3 or 4,Estimate!!Total:!!5 to 9,Margin of Error!!Total:!!5 to 9,Estimate!!Total:!!10 to 19,Margin of Error!!Total:!!10 to 19,Estimate!!Total:!!20 to 49,Margin of Error!!Total:!!20 to 49,Estimate!!Total:!!50 or more,Margin of Error!!Total:!!50 or more,Estimate!!Total:!!Mobile home,Margin of Error!!Total:!!Mobile home,"Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc."
0400000US38,North Dakota,374435,225,215479,5165,23294,2623,7062,1538,14313,2114,12874,2050,18683,2721,39953,3962,17608,2365,24899,2800,270,311
0400000US39,Ohio,5269498,445,3647285,18666,241545,7291,194524,7952,222191,9253,245993,7962,202198,8921,114503,5597,217715,9040,181025,7190,2519,809
0400000US40,Oklahoma,1762113,243,1291457,7506,38138,2837,31341,2627,53245,3646,63676,3921,60687,3872,31687,3014,41727,3262,146196,4621,3959,953
0400000US41,Oregon,1837009,316,1168683,12041,96733,5021,44219,4060,80214,4913,79423,5681,61410,4485,56681,4550,111773,5785,129894,5569,7979,1802
0400000US42,Pennsylvania,5770472,639,3298868,16285,1095338,16452,232303,8366,225777,9821,169610,6386,145784,7637,128902,5792,265196,7239,205543,6645,3151,880
0400000US44,Rhode Island,484925,184,272238,5396,16193,2322,51479,4524,57406,3197,23114,3009,16116,2383,13870,2189,30035,2729,4371,1055,103,180
0400000US45,South Carolina,2395957,268,1541721,11168,80713,6117,48152,3898,61869,5418,96859,6156,82151,6132,55590,4743,71126,4685,352727,10095,5049,1452
0400000US46,South Dakota,400688,380,275249,4116,16375,2353,6040,1264,12641,1839,13538,1933,15945,2252,19566,2158,10647,1839,29858,2449,829,489
0400000US47,Tennessee,3087992,386,2131963,15476,113246,6238,78284,4993,98344,6423,130322,6828,107580,7030,68592,5781,104139,5244,251596,8179,3926,1098
0400000US48,Texas,11867820,1642,7698136,28619,357804,12627,221840,10962,398834,13603,523876,14590,658448,19773,422800,13369,789393,19356,769638,19522,27051,3632
0400000US49,Utah,1190154,220,799053,7970,87662,4684,33606,3311,47682,4041,38235,3923,49795,4039,48987,4355,50012,3599,34150,2837,972,642
0400000US50,Vermont,336747,140,226665,3898,15467,1758,14569,1913,19992,2001,17541,2030,7561,1718,9330,1788,6756,1377,18767,1460,99,71
0400000US51,Virginia,3652329,452,2249172,15290,406948,10138,59366,4451,104278,6178,170654,7006,190640,8307,79518,4767,233833,7309,157048,6290,872,411
0400000US53,Washington,3257140,888,2045045,13027,145792,7836,73160,4678,114881,6151,146318,6641,151856,7283,148424,6879,244547,8588,180284,6503,6833,1105
0400000US54,West Virginia,858462,264,610755,6627,21917,2650,16141,2053,26751,2805,26819,3182,15007,2157,11255,2161,14783,2032,114391,5867,643,489
0400000US55,Wisconsin,2748274,1039,1832041,11679,120442,5496,166164,6241,96911,5101,134881,6481,96475,6252,109022,5130,107997,5376,83385,3445,956,357
0400000US56,Wyoming,274373,94,187670,3492,14385,1996,4509,1143,12363,1795,7428,1845,5139,1282,5837,1568,3221,1018,33270,3136,551,476
0400000US72,Puerto Rico,1526801,7559,1054319,10077,190536,6715,40795,3159,42149,3218,57982,4374,50800,3725,26204,2673,60228,3501,3788,1006,0,254
